station_eva,hotel_name,hotel_rating
8000013,Augsburg,3
8010255,Berlin-Ostbahnhof,4
8010109,Berlin-Brandenburg Airport,4
8011160,Berlin-Hauptbahnhof,4
8000044,Bonn,4
8000050,Bremen,4
8000064,Celle,3
8000068,Darmstadt,4
8010085,Dresden,4
8000085,Düsseldorf,4
8071357,Erfurt,4
8000098,Essen,4
8000105,Frankfurt,3
8000281,Frankfurt Airport,4
8000107,Freiburg,3
8000118,Gelsenkirchen,3
8000128,Göttingen,4
8002553,Hamburg-Altona,3
8002549,Hamburg Hauptbahnhof,4
8002548,Hamburg Dammtor Messe,4
8000152,Hannover,4
8000183,Ingolstadt,4
8003200,Kassel,3
8000199,Kiel,3
8010205,Leipizig,4
8089178,Magdeburg,3
8000240,Mainz,4
8000244,Mannheim,4
8000261,München,4
8000284,Nürnberg,3
8010304,Rostock,3
8010324,Schwerin,4
8010338,Stralsund,3
8000096,Stuttgart,4
8000170,Ulm,3
8000266,Wuppertal,4
