1
1%4219971|Darmstadt Hbf|4219971|0 8.644000000000005 49.875 0 5 5 0 0
2%8351230|Frankfurt(Main)Hbf|8351230|0 8.661000000000058 50.11099999999999 0 8 8 0 0
3%0894834|Frankfurt Flughafen|0894834|0 8.543000000000006 50.05000000000001 0 6 6 0 0
4%8430661|Mainz Hbf|8430661|0 8.274999999999977 50.000999999999976 0 4 4 0 0
5%9335048|Heidelberg Hbf|9335048|0 8.68100000000004 49.40999999999997 0 4 4 0 0
6%7492229|Hanau|7492229|0 8.914999999999964 50.149 0 5 5 0 0
7%0064254|Würzburg|0064254|0 9.909999999999968 49.803 0 5 5 0 0
8%1427540|Heilbronn|1427540|0 9.240000000000009 49.185 0 5 5 0 0
9%6669592|Kaiserslautern|6669592|0 7.783999999999992 49.528999999999996 0 5 5 0 0
10%7226036|Karlsruhe|7226036|0 8.372000000000071 49.08100000000002 0 5 5 0 0
11%6270627|Stuttgart|6270627|0 9.134999999999991 48.831999999999994 0 5 5 0 0
